trial_code;hospital_id
NCT04189614;786aa03b
NCT04189614;232d59e6
NCT04189614;2fa421ab
NCT04191499;05022ca2
NCT04191499;222a994d
NCT04191499;92dbc797
NCT04191499;038dff84
NCT04191499;0cc89ec9
NCT04191499;3756181d
NCT04191499;d76acae1
NCT04191499;5b0803dd
NCT04191499;1d209abd
NCT04191499;806da020
NCT04191499;8376d9b5
NCT04191499;ac332194
NCT04191499;e7f76e74
NCT04191499;711f036d
NCT04191499;898635d8
NCT04211337;5df03eb3
NCT04211337;734eb4fb
NCT04211337;4edb44bd
NCT04211337;6581301d
NCT04211337;ad51853f
NCT04211337;d7253f17
NCT04211337;d25c72da
NCT04211337;5e59b42f
NCT04211337;3e912a4f
NCT04211337;fa6a26b8
NCT04211337;f7e1015b
NCT04211337;a7255b7b
NCT04221945;a73ce420
NCT04221945;aa1033a1
NCT04221945;3a04daad
NCT04222972;1fc656ee
NCT04222972;a9612d10
NCT04222972;c8bb9f11
NCT04222972;999f7d12
NCT04222972;643abfe9
NCT04222972;5fc847f5
NCT04222972;8,79E+85
NCT04222972;38090a8e
NCT04222972;8f250551
NCT04222972;7f4804c3
NCT04222972;97aeda2c
NCT04222972;4edb44bd
NCT04222972;ef72dfdb
NCT04222972;8c80263a
NCT04222972;dc57f9ef
NCT04222972;d9e3509d
NCT04224272;db1b90e0
NCT04224272;3378af33
NCT04224272;ff90eca3
NCT04224272;f67c1c13
NCT04234113;e1574622
NCT04234113;ea2100df
NCT04238819;d64b7302
NCT04241185;7d54d0bc
NCT04241185;415501b0
NCT04241185;da44b86c
NCT04246086;be8539a9
NCT04246086;138bbbd2
NCT04246177;cd909984
NCT04246177;39612ade
NCT04250922;3f013d7d
NCT04250922;0d591594
NCT04250922;5a27c0e5
NCT04250922;f99968aa
NCT04250922;a16e7837
NCT04250922;7bc97667
NCT04253145;7db3f394
NCT04253145;311dbdb7
NCT04253145;07536efc
NCT04253145;f5458f8a
NCT04253145;ed8989ad
NCT04253145;c975d68a
NCT04253145;c64b00d0
NCT04253145;07c57703
NCT04253145;9de9b6b2
NCT04253145;89f09106
NCT04253145;08eb075d
NCT04253561;255d0d07
NCT04253561;ab1a298b
NCT04253561;af8a240e
NCT04253561;85e06987
NCT04253561;feeed2f3
NCT04253561;b0128a3d
NCT04253561;be8539a9
NCT04253561;ff90eca3
NCT04253561;60efba94
NCT04253561;9635d3db
NCT04254107;d4252b8c
NCT04254107;acc14470
NCT04259450;56bc38d1
NCT04259450;23a11ca6
NCT04259450;9596dcb5
NCT04270409;30ad7f74
NCT04270409;e83a7f8b
NCT04270409;57298d6d
NCT04270409;b44f8662
NCT04285567;39e44f74
NCT04294160;65882b3e
NCT04294160;4ba7a6b5
NCT04300244;3f013d7d
NCT04303858;311dbdb7
NCT04303858;145782b2
NCT04303858;e1cf361d
NCT04309981;a1262846
NCT04324840;76bec950
NCT04324840;b62a30ee
NCT04324840;4ef54e17
NCT04324840;65a5dbaf
NCT04324840;a2fdc187
NCT04324840;d5a663fb
NCT04324840;65d53108
NCT04324840;aeb034cc
NCT04324840;9de9b6b2
NCT04358237;dc8ce339
NCT04358237;f7a35888
NCT04358237;194f8ead
NCT04358237;1b45d14d
NCT04358458;9058a100
NCT04358458;2e22effc
NCT04358458;0f6a5ff3
NCT04358458;0616d64d
NCT04378647;05022ca2
NCT04378647;db0afeac
NCT04378647;ebca53fb
NCT04378647;3b7cd5f1
NCT04378647;406393a3
NCT04379596;9,71E+10
NCT04379596;dc8ce339
NCT04379596;5c31aa5b
NCT04379596;2cfa42f7
NCT04380636;701b34fc
NCT04380636;60a68575
NCT04380636;643abfe9
